demand_line_id,asn,part_number,quantity_needed,delivery_date
DL01037,ASN500034,P1360,139,2026-03-01
DL00929,ASN500085,P1323,153,2026-03-08
DL00634,ASN500111,P1223,149,2026-04-18
DL00491,ASN500003,P1171,171,2026-04-03
DL01094,ASN500066,P1378,19,2026-03-22
DL00480,ASN500120,P1166,59,2026-04-30
DL00689,ASN500037,P1246,116,2026-03-20
DL00944,ASN500103,P1327,90,2026-01-13
DL00270,ASN500110,P1092,111,2026-03-12
DL00880,ASN500058,P1308,51,2026-04-29
DL00786,ASN500046,P1279,79,2026-01-20
DL00997,ASN500046,P1345,71,2026-05-06
DL00225,ASN500049,P1076,15,2026-04-29
DL00247,ASN500089,P1084,161,2026-04-12
DL01028,ASN500101,P1357,28,2026-02-28
DL00050,ASN500093,P1014,64,2026-03-10
DL00478,ASN500039,P1165,126,2026-04-14
DL00039,ASN500132,P1011,78,2026-03-06
DL01093,ASN500051,P1378,5,2026-03-20
DL00630,ASN500107,P1222,157,2026-04-23
DL00922,ASN500132,P1322,24,2026-02-21
DL00249,ASN500070,P1085,121,2026-01-24
DL00040,ASN500119,P1011,124,2026-04-14
DL00795,ASN500089,P1283,5,2026-01-20
DL00580,ASN500054,P1205,148,2026-03-08
DL00901,ASN500087,P1315,179,2026-01-07
DL01193,ASN500033,P1410,111,2026-03-20
DL00235,ASN500121,P1080,107,2026-01-19
DL00856,ASN500095,P1302,5,2026-01-10
DL00820,ASN500061,P1290,90,2026-03-27
DL00848,ASN500010,P1299,32,2026-03-19
DL00510,ASN500010,P1177,78,2026-04-22
DL00122,ASN500126,P1037,56,2026-02-14
DL00146,ASN500118,P1048,21,2026-04-18
DL01055,ASN500036,P1367,167,2026-01-06
DL00481,ASN500003,P1167,114,2026-01-06
DL00246,ASN500056,P1084,21,2026-04-22
DL00765,ASN500129,P1271,57,2026-02-04
DL00174,ASN500039,P1060,77,2026-04-29
DL00968,ASN500048,P1336,74,2026-03-15
DL00056,ASN500000,P1016,88,2026-04-12
DL00584,ASN500074,P1207,111,2026-04-30
DL00070,ASN500115,P1020,162,2026-04-12
DL00629,ASN500004,P1222,167,2026-02-24
DL00751,ASN500136,P1267,103,2026-02-17
DL00586,ASN500075,P1207,41,2026-03-28
DL01148,ASN500111,P1396,168,2026-01-21
DL00451,ASN500090,P1157,131,2026-02-26
DL00205,ASN500001,P1069,116,2026-05-01
DL00130,ASN500015,P1040,52,2026-02-25
DL01075,ASN500135,P1372,48,2026-04-20
DL00101,ASN500117,P1029,26,2026-03-17
DL00107,ASN500018,P1031,81,2026-03-14
DL00392,ASN500025,P1137,152,2026-03-05
DL00864,ASN500120,P1305,26,2026-03-16
DL00210,ASN500036,P1070,169,2026-04-19
DL00934,ASN500069,P1324,21,2026-03-11
DL00008,ASN500076,P1001,82,2026-03-27
DL00941,ASN500077,P1326,92,2026-04-10
DL00497,ASN500041,P1173,166,2026-04-18
DL00473,ASN500013,P1163,132,2026-03-19
DL00723,ASN500136,P1257,136,2026-01-24
DL00640,ASN500017,P1226,88,2026-03-02
DL00883,ASN500135,P1310,176,2026-02-07
DL01033,ASN500059,P1360,152,2026-03-02
DL00073,ASN500032,P1020,48,2026-03-07
DL00548,ASN500056,P1193,49,2026-01-10
DL00587,ASN500004,P1207,118,2026-04-19
DL01012,ASN500108,P1351,169,2026-02-10
DL00045,ASN500053,P1013,58,2026-01-15
DL00475,ASN500107,P1164,152,2026-04-05
DL00089,ASN500086,P1026,20,2026-03-10
DL01144,ASN500112,P1395,79,2026-01-31
DL00029,ASN500052,P1006,64,2026-04-10
DL00389,ASN500125,P1136,32,2026-01-10
DL00756,ASN500088,P1268,65,2026-03-02
DL00600,ASN500002,P1211,21,2026-04-04
DL00965,ASN500014,P1334,38,2026-03-23
DL00797,ASN500012,P1283,67,2026-04-03
DL00713,ASN500130,P1254,58,2026-03-11
DL01187,ASN500028,P1408,81,2026-04-19
DL00138,ASN500089,P1044,112,2026-04-29
DL01056,ASN500061,P1367,160,2026-03-11
DL00165,ASN500018,P1056,72,2026-03-26
DL01137,ASN500137,P1393,171,2026-02-22
DL00448,ASN500053,P1157,77,2026-03-02
DL01175,ASN500127,P1405,28,2026-01-31
DL00285,ASN500089,P1096,157,2026-03-29
DL00198,ASN500023,P1066,172,2026-01-26
DL00022,ASN500136,P1005,179,2026-02-06
DL00677,ASN500121,P1240,73,2026-04-16
DL01180,ASN500058,P1406,153,2026-05-04
DL00215,ASN500027,P1072,103,2026-03-09
DL00399,ASN500070,P1140,102,2026-02-26
DL00521,ASN500101,P1181,153,2026-03-13
DL00753,ASN500031,P1267,113,2026-04-21
DL00577,ASN500081,P1204,121,2026-05-01
DL00541,ASN500007,P1189,18,2026-01-10
DL00998,ASN500093,P1345,43,2026-05-01
DL00132,ASN500020,P1041,47,2026-02-17
DL00488,ASN500127,P1171,122,2026-04-01
DL00327,ASN500008,P1111,13,2026-04-24
DL00346,ASN500042,P1121,33,2026-05-06
DL00085,ASN500081,P1024,66,2026-02-22
DL00498,ASN500122,P1174,103,2026-04-15
DL00483,ASN500022,P1168,60,2026-04-27
DL00373,ASN500102,P1131,116,2026-04-04
DL00158,ASN500083,P1054,86,2026-03-05
DL00110,ASN500002,P1032,142,2026-02-13
DL00352,ASN500077,P1122,72,2026-03-01
DL00105,ASN500064,P1031,140,2026-03-28
DL00769,ASN500130,P1272,59,2026-01-22
DL00031,ASN500122,P1007,180,2026-02-11
DL00432,ASN500107,P1151,64,2026-04-21
DL01215,ASN500131,P1418,20,2026-04-21
DL00180,ASN500059,P1062,119,2026-05-03
DL00973,ASN500086,P1337,49,2026-01-13
DL00108,ASN500049,P1032,104,2026-02-08
DL00314,ASN500111,P1106,64,2026-03-20
DL00707,ASN500043,P1252,97,2026-02-15
DL00324,ASN500136,P1111,175,2026-01-14
DL00648,ASN500003,P1230,116,2026-02-05
DL00579,ASN500014,P1205,166,2026-04-30
DL00168,ASN500034,P1058,111,2026-03-05
DL00643,ASN500116,P1228,167,2026-01-11
DL00364,ASN500063,P1126,88,2026-03-24
DL00572,ASN500112,P1202,43,2026-02-09
DL00271,ASN500093,P1092,17,2026-01-22
DL01111,ASN500027,P1383,156,2026-03-19
DL00962,ASN500114,P1334,56,2026-04-30
DL00657,ASN500139,P1232,78,2026-04-23
DL00014,ASN500131,P1003,165,2026-03-01
DL00428,ASN500076,P1150,55,2026-03-10
DL00211,ASN500022,P1071,151,2026-03-26
DL01159,ASN500034,P1400,15,2026-01-26
DL00928,ASN500090,P1323,85,2026-01-06
DL00839,ASN500007,P1296,11,2026-04-15
DL00850,ASN500108,P1300,132,2026-04-09
DL00821,ASN500030,P1290,145,2026-03-01
DL01204,ASN500065,P1413,98,2026-01-31
DL00719,ASN500001,P1255,82,2026-02-25
DL00574,ASN500006,P1203,74,2026-03-20
DL01086,ASN500028,P1376,120,2026-03-28
DL00935,ASN500067,P1324,96,2026-03-19
DL00202,ASN500091,P1067,111,2026-02-28
DL01182,ASN500025,P1406,5,2026-02-19
DL01004,ASN500006,P1347,32,2026-03-31
DL01196,ASN500023,P1411,89,2026-01-06
DL00017,ASN500004,P1004,180,2026-03-21
DL00529,ASN500126,P1184,100,2026-04-26
DL00961,ASN500005,P1333,60,2026-01-12
DL00199,ASN500069,P1067,109,2026-02-11
DL01081,ASN500064,P1375,101,2026-01-19
DL00918,ASN500008,P1321,14,2026-01-15
DL00999,ASN500041,P1346,140,2026-01-09
DL00115,ASN500127,P1034,177,2026-03-29
DL00195,ASN500123,P1066,21,2026-02-27
DL01025,ASN500034,P1356,82,2026-01-25
DL00903,ASN500131,P1316,139,2026-02-20
DL00196,ASN500025,P1066,106,2026-03-31
DL00466,ASN500044,P1160,30,2026-03-31
DL00633,ASN500061,P1223,90,2026-04-07
DL00726,ASN500132,P1257,135,2026-01-19
DL00700,ASN500010,P1249,157,2026-04-02
DL00465,ASN500117,P1160,165,2026-04-13
DL00442,ASN500007,P1154,10,2026-03-25
DL00885,ASN500057,P1311,143,2026-03-20
DL00590,ASN500134,P1208,78,2026-01-29
DL00490,ASN500008,P1171,7,2026-01-13
DL00658,ASN500056,P1233,171,2026-02-24
DL00818,ASN500089,P1290,81,2026-01-23
DL00258,ASN500092,P1088,120,2026-03-18
DL00674,ASN500039,P1239,111,2026-02-18
DL01171,ASN500090,P1404,36,2026-03-31
DL00891,ASN500100,P1312,144,2026-01-27
DL00381,ASN500031,P1134,121,2026-03-02
DL00057,ASN500086,P1016,106,2026-01-21
DL00683,ASN500117,P1244,78,2026-04-08
DL00232,ASN500112,P1078,50,2026-01-08
DL00979,ASN500080,P1338,19,2026-02-28
DL00603,ASN500126,P1213,28,2026-01-07
DL00525,ASN500023,P1182,51,2026-04-19
DL00400,ASN500015,P1140,8,2026-01-15
DL00902,ASN500065,P1315,36,2026-02-05
DL00990,ASN500133,P1341,140,2026-05-06
DL01125,ASN500012,P1390,165,2026-01-24
DL00092,ASN500055,P1027,28,2026-02-09
DL01074,ASN500135,P1371,98,2026-03-14
DL00866,ASN500109,P1305,141,2026-05-02
DL00950,ASN500077,P1330,48,2026-03-22
DL00065,ASN500038,P1018,68,2026-02-09
DL01121,ASN500003,P1386,31,2026-03-10
DL00435,ASN500125,P1152,68,2026-03-10
DL00275,ASN500077,P1093,32,2026-03-13
DL01163,ASN500066,P1401,88,2026-03-17
DL00030,ASN500126,P1007,102,2026-01-15
DL00178,ASN500025,P1061,172,2026-03-06
DL00229,ASN500078,P1077,171,2026-02-28
DL00032,ASN500011,P1007,162,2026-03-27
DL00731,ASN500082,P1259,41,2026-04-07
DL00550,ASN500007,P1194,17,2026-02-08
DL01001,ASN500054,P1347,167,2026-05-02
DL00289,ASN500015,P1097,141,2026-01-09
DL00214,ASN500041,P1071,138,2026-01-27
DL00570,ASN500014,P1201,51,2026-04-07
DL00815,ASN500124,P1289,176,2026-03-08
DL00236,ASN500017,P1080,37,2026-02-20
DL00825,ASN500052,P1292,16,2026-01-13
DL00544,ASN500065,P1191,86,2026-03-19
DL00339,ASN500073,P1117,48,2026-03-02
DL00349,ASN500091,P1122,29,2026-02-26
DL00812,ASN500043,P1288,96,2026-02-19
DL00302,ASN500009,P1101,36,2026-02-17
DL00830,ASN500018,P1295,16,2026-01-07
DL01044,ASN500069,P1363,50,2026-01-07
DL00920,ASN500100,P1321,126,2026-01-26
DL00479,ASN500105,P1165,145,2026-01-19
DL00551,ASN500131,P1194,170,2026-04-13
DL00041,ASN500030,P1011,145,2026-01-31
DL01141,ASN500013,P1394,85,2026-01-07
DL00610,ASN500030,P1214,96,2026-04-07
DL01035,ASN500081,P1360,21,2026-04-28
DL00605,ASN500068,P1213,68,2026-01-29
DL00457,ASN500022,P1158,15,2026-02-26
DL00061,ASN500019,P1017,97,2026-05-04
DL00516,ASN500101,P1179,124,2026-04-06
DL00840,ASN500037,P1297,80,2026-02-22
DL00458,ASN500103,P1159,144,2026-03-20
DL00143,ASN500093,P1047,126,2026-01-09
DL00783,ASN500105,P1278,11,2026-03-31
DL00645,ASN500068,P1228,178,2026-03-26
DL00469,ASN500079,P1162,148,2026-04-06
DL00877,ASN500106,P1308,97,2026-03-14
DL00224,ASN500031,P1076,43,2026-02-06
DL01026,ASN500090,P1357,29,2026-04-12
DL00985,ASN500039,P1340,173,2026-03-24
DL00074,ASN500087,P1021,77,2026-02-13
DL00530,ASN500095,P1185,166,2026-03-06
DL00717,ASN500010,P1255,110,2026-01-07
DL00024,ASN500116,P1005,22,2026-04-11
DL00827,ASN500079,P1293,119,2026-01-20
DL00081,ASN500056,P1022,120,2026-05-02
DL00822,ASN500039,P1291,158,2026-03-06
DL00583,ASN500061,P1206,65,2026-01-18
DL00693,ASN500109,P1248,7,2026-01-09
DL00936,ASN500135,P1324,154,2026-01-23
DL00097,ASN500000,P1028,23,2026-02-25
DL01008,ASN500096,P1349,173,2026-03-27
DL00230,ASN500063,P1078,113,2026-02-24
DL00884,ASN500125,P1310,63,2026-03-17
DL00623,ASN500069,P1220,36,2026-03-06
DL00280,ASN500062,P1095,43,2026-03-04
DL00522,ASN500066,P1181,138,2026-02-16
DL00620,ASN500118,P1219,138,2026-02-05
DL00927,ASN500119,P1323,104,2026-05-05
DL01169,ASN500038,P1403,52,2026-03-02
DL00879,ASN500101,P1308,71,2026-01-20
DL00894,ASN500014,P1313,108,2026-02-05
DL00960,ASN500068,P1333,65,2026-04-06
DL00628,ASN500118,P1222,106,2026-01-27
DL00394,ASN500004,P1138,168,2026-04-17
DL00721,ASN500050,P1256,49,2026-03-10
DL01087,ASN500122,P1376,49,2026-04-13
DL00663,ASN500085,P1234,61,2026-01-30
DL00135,ASN500096,P1043,100,2026-02-17
DL00295,ASN500044,P1100,135,2026-02-14
DL00391,ASN500051,P1137,137,2026-02-19
DL00665,ASN500101,P1234,8,2026-05-04
DL00841,ASN500047,P1297,168,2026-03-14
DL00905,ASN500090,P1316,30,2026-02-20
DL00035,ASN500077,P1008,164,2026-03-19
DL00290,ASN500103,P1097,52,2026-02-05
DL00128,ASN500013,P1040,59,2026-01-09
DL00513,ASN500021,P1178,143,2026-03-17
DL00245,ASN500073,P1084,47,2026-04-03
DL01063,ASN500000,P1369,126,2026-04-11
DL01124,ASN500106,P1389,154,2026-01-23
DL00228,ASN500116,P1077,145,2026-04-24
DL00155,ASN500126,P1053,38,2026-05-04
DL00136,ASN500113,P1043,48,2026-01-19
DL00859,ASN500131,P1303,112,2026-04-29
DL01118,ASN500084,P1386,104,2026-04-14
DL01147,ASN500052,P1396,19,2026-01-29
DL00805,ASN500115,P1286,135,2026-01-12
DL01079,ASN500082,P1374,102,2026-02-21
DL00747,ASN500062,P1265,27,2026-01-28
DL00875,ASN500114,P1307,26,2026-01-24
DL00220,ASN500056,P1075,163,2026-02-26
DL00909,ASN500114,P1317,10,2026-04-23
DL00443,ASN500084,P1155,29,2026-03-12
DL00592,ASN500104,P1208,60,2026-02-10
DL00242,ASN500129,P1082,101,2026-03-30
DL00684,ASN500090,P1244,79,2026-02-20
DL00588,ASN500087,P1208,135,2026-01-23
DL00873,ASN500135,P1307,167,2026-01-09
DL00004,ASN500051,P1001,68,2026-03-11
DL00515,ASN500079,P1179,160,2026-01-13
DL00069,ASN500052,P1019,25,2026-01-12
DL00888,ASN500018,P1311,117,2026-01-23
DL00068,ASN500007,P1019,166,2026-02-26
DL00699,ASN500099,P1249,123,2026-02-20
DL00347,ASN500020,P1121,130,2026-04-16
DL00219,ASN500041,P1075,168,2026-04-16
DL01194,ASN500019,P1411,100,2026-04-09
DL00952,ASN500078,P1330,69,2026-04-09
DL00686,ASN500098,P1244,170,2026-02-16
DL00424,ASN500115,P1148,93,2026-04-16
DL00534,ASN500052,P1188,149,2026-03-09
DL00754,ASN500089,P1267,146,2026-02-06
DL00943,ASN500089,P1327,145,2026-04-07
DL00147,ASN500065,P1049,54,2026-04-11
DL00893,ASN500023,P1312,40,2026-02-22
DL00730,ASN500003,P1259,180,2026-04-14
DL00191,ASN500052,P1064,7,2026-04-20
DL00886,ASN500028,P1311,136,2026-05-02
DL00359,ASN500112,P1124,70,2026-03-21
DL00345,ASN500054,P1121,64,2026-03-10
DL00826,ASN500071,P1292,82,2026-01-31
DL00512,ASN500127,P1178,93,2026-03-15
DL00959,ASN500065,P1332,144,2026-01-08
DL00410,ASN500032,P1143,125,2026-02-20
DL01101,ASN500095,P1380,16,2026-04-07
DL00860,ASN500016,P1304,117,2026-01-07
DL01007,ASN500096,P1349,109,2026-05-02
DL01153,ASN500040,P1398,42,2026-04-15
DL01049,ASN500010,P1365,172,2026-03-05
DL00994,ASN500102,P1343,28,2026-05-05
DL00414,ASN500071,P1144,96,2026-02-06
DL00794,ASN500111,P1282,176,2026-04-03
DL00121,ASN500074,P1036,134,2026-01-14
DL00709,ASN500044,P1253,33,2026-03-30
DL00761,ASN500113,P1270,124,2026-04-23
DL00650,ASN500078,P1230,93,2026-03-29
DL00741,ASN500080,P1264,6,2026-05-01
DL01123,ASN500051,P1388,90,2026-03-08
DL00661,ASN500077,P1233,161,2026-03-08
DL00170,ASN500031,P1058,80,2026-02-12
DL00315,ASN500054,P1107,105,2026-03-26
DL00114,ASN500078,P1033,19,2026-01-08
DL00729,ASN500110,P1259,20,2026-03-30
DL00828,ASN500083,P1294,118,2026-03-06
DL00855,ASN500122,P1302,53,2026-02-02
DL00423,ASN500036,P1148,64,2026-01-29
DL00849,ASN500012,P1300,60,2026-03-10
DL00695,ASN500127,P1248,81,2026-05-03
DL00618,ASN500007,P1219,9,2026-01-18
DL01084,ASN500022,P1376,75,2026-02-25
DL01031,ASN500060,P1358,56,2026-04-17
DL00562,ASN500009,P1198,45,2026-05-04
DL00897,ASN500117,P1313,81,2026-01-21
DL01057,ASN500065,P1367,161,2026-04-09
DL00908,ASN500065,P1317,95,2026-01-30
DL00250,ASN500065,P1085,133,2026-05-03
DL00272,ASN500058,P1093,161,2026-03-30
DL01013,ASN500127,P1352,60,2026-03-19
DL00617,ASN500079,P1219,69,2026-03-18
DL00363,ASN500077,P1125,163,2026-01-25
DL00313,ASN500135,P1105,6,2026-04-25
DL00581,ASN500073,P1205,35,2026-02-07
DL00715,ASN500015,P1254,166,2026-03-19
DL00847,ASN500094,P1298,69,2026-02-05
DL00545,ASN500022,P1192,176,2026-03-11
DL00043,ASN500074,P1012,122,2026-01-15
DL00013,ASN500037,P1003,16,2026-04-21
DL00790,ASN500039,P1281,102,2026-04-10
DL00461,ASN500048,P1159,126,2026-03-24
DL00266,ASN500132,P1091,69,2026-02-14
DL00125,ASN500126,P1038,161,2026-01-29
DL00646,ASN500069,P1228,165,2026-03-16
DL00872,ASN500035,P1306,81,2026-04-26
DL01168,ASN500023,P1403,55,2026-03-06
DL00831,ASN500119,P1295,129,2026-01-16
DL00543,ASN500101,P1190,35,2026-04-06
DL01160,ASN500075,P1401,64,2026-04-27
DL01058,ASN500061,P1368,55,2026-03-31
DL00735,ASN500049,P1261,120,2026-03-26
DL00372,ASN500118,P1131,13,2026-01-07
DL00402,ASN500067,P1141,32,2026-02-03
DL00282,ASN500037,P1095,175,2026-04-16
DL00079,ASN500041,P1022,24,2026-02-01
DL00771,ASN500098,P1274,12,2026-03-31
DL00422,ASN500064,P1148,160,2026-01-18
DL01133,ASN500078,P1392,82,2026-02-06
DL00869,ASN500084,P1306,160,2026-03-31
DL00573,ASN500107,P1202,110,2026-02-06
DL00678,ASN500105,P1241,31,2026-01-06
DL00482,ASN500002,P1167,180,2026-04-01
DL00549,ASN500090,P1194,20,2026-05-01
DL00776,ASN500128,P1276,81,2026-01-30
DL00286,ASN500113,P1097,159,2026-05-05
DL01095,ASN500045,P1378,83,2026-04-07
DL00046,ASN500023,P1013,41,2026-04-11
DL00323,ASN500093,P1111,56,2026-04-20
DL00914,ASN500097,P1319,41,2026-03-22
DL00798,ASN500028,P1283,14,2026-04-17
DL00164,ASN500083,P1055,46,2026-03-01
DL01100,ASN500032,P1379,113,2026-04-17
DL00419,ASN500083,P1146,40,2026-03-14
DL01138,ASN500118,P1393,173,2026-03-09
DL01088,ASN500038,P1377,6,2026-04-03
DL00462,ASN500015,P1159,133,2026-05-02
DL01061,ASN500083,P1368,180,2026-03-29
DL01166,ASN500039,P1403,169,2026-02-12
DL00949,ASN500116,P1329,108,2026-03-04
DL00209,ASN500003,P1070,18,2026-03-17
DL00116,ASN500107,P1034,25,2026-02-07
DL00274,ASN500000,P1093,150,2026-02-20
DL00484,ASN500033,P1169,125,2026-01-08
DL00987,ASN500066,P1340,127,2026-04-13
DL00813,ASN500023,P1289,56,2026-03-28
DL00395,ASN500094,P1138,138,2026-02-18
DL00328,ASN500073,P1112,127,2026-01-18
DL00404,ASN500134,P1141,61,2026-04-18
DL00371,ASN500071,P1130,57,2026-04-29
DL00267,ASN500080,P1092,5,2026-04-11
DL01023,ASN500035,P1354,81,2026-04-03
DL00112,ASN500062,P1032,126,2026-03-14
DL00413,ASN500047,P1144,128,2026-01-06
DL00449,ASN500087,P1157,113,2026-02-07
DL00951,ASN500016,P1330,41,2026-02-13
DL00329,ASN500025,P1113,170,2026-02-01
DL00636,ASN500013,P1223,88,2026-03-13
DL00203,ASN500093,P1068,169,2026-01-31
DL00487,ASN500037,P1170,26,2026-02-12
DL00967,ASN500087,P1336,39,2026-01-06
DL00913,ASN500074,P1319,180,2026-04-01
DL00317,ASN500043,P1107,42,2026-01-10
DL00279,ASN500040,P1095,39,2026-01-07
DL00192,ASN500104,P1065,178,2026-02-22
DL00711,ASN500107,P1254,166,2026-01-26
DL00986,ASN500084,P1340,63,2026-04-10
DL00369,ASN500077,P1129,81,2026-03-02
DL00991,ASN500070,P1341,38,2026-02-07
DL00796,ASN500073,P1283,15,2026-04-28
DL00393,ASN500052,P1138,126,2026-03-12
DL00995,ASN500007,P1343,164,2026-01-23
DL00305,ASN500133,P1102,72,2026-02-12
DL00602,ASN500132,P1212,93,2026-02-17
DL00055,ASN500080,P1015,35,2026-04-23
DL00930,ASN500085,P1323,63,2026-01-08
DL00320,ASN500007,P1109,12,2026-01-11
DL00698,ASN500132,P1249,180,2026-03-02
DL00350,ASN500101,P1122,27,2026-03-01
DL00631,ASN500134,P1222,14,2026-02-25
DL01097,ASN500082,P1378,70,2026-02-05
DL00127,ASN500014,P1039,157,2026-01-24
DL00412,ASN500096,P1143,180,2026-02-07
DL00287,ASN500132,P1097,131,2026-02-06
DL00712,ASN500134,P1254,79,2026-04-20
DL00099,ASN500063,P1028,32,2026-02-03
DL01016,ASN500072,P1353,27,2026-02-17
DL00332,ASN500065,P1114,77,2026-01-12
DL00664,ASN500131,P1234,144,2026-02-24
DL00569,ASN500093,P1200,41,2026-02-17
DL00738,ASN500112,P1262,18,2026-03-26
DL01010,ASN500067,P1350,116,2026-02-05
DL00780,ASN500118,P1277,165,2026-04-28
DL01214,ASN500055,P1418,64,2026-02-06
DL01119,ASN500117,P1386,35,2026-01-17
DL00862,ASN500075,P1304,6,2026-03-03
DL00053,ASN500115,P1014,108,2026-02-13
DL00597,ASN500126,P1209,75,2026-01-28
DL01132,ASN500107,P1392,179,2026-01-12
DL00576,ASN500066,P1204,130,2026-01-19
DL00356,ASN500008,P1123,94,2026-03-21
DL00804,ASN500128,P1286,165,2026-03-27
DL00096,ASN500108,P1027,126,2026-03-22
DL01041,ASN500135,P1362,95,2026-04-23
DL00385,ASN500108,P1135,128,2026-03-05
DL00296,ASN500016,P1100,81,2026-03-27
DL01110,ASN500134,P1382,111,2026-03-10
DL00015,ASN500129,P1003,40,2026-05-02
DL00281,ASN500024,P1095,21,2026-03-28
DL00989,ASN500116,P1340,148,2026-02-10
DL00667,ASN500083,P1235,130,2026-02-09
DL00072,ASN500073,P1020,129,2026-01-12
DL00940,ASN500036,P1326,179,2026-01-15
DL00312,ASN500137,P1105,125,2026-03-07
DL01050,ASN500139,P1365,77,2026-03-17
DL00638,ASN500108,P1224,174,2026-03-27
DL00917,ASN500038,P1320,129,2026-03-11
DL00773,ASN500099,P1274,27,2026-04-04
DL00244,ASN500028,P1083,54,2026-01-22
DL00117,ASN500108,P1035,99,2026-02-04
DL00037,ASN500124,P1009,73,2026-04-02
DL00745,ASN500056,P1265,110,2026-02-14
DL01011,ASN500090,P1351,57,2026-02-16
DL01021,ASN500092,P1354,16,2026-04-15
DL00123,ASN500049,P1037,64,2026-03-06
DL01070,ASN500067,P1371,72,2026-05-02
DL01113,ASN500121,P1384,50,2026-04-29
DL00626,ASN500103,P1221,40,2026-03-16
DL00742,ASN500116,P1264,82,2026-02-28
DL00606,ASN500093,P1214,14,2026-01-26
DL00546,ASN500100,P1192,51,2026-03-04
DL00910,ASN500112,P1317,34,2026-04-17
DL01195,ASN500041,P1411,97,2026-01-27
DL01054,ASN500098,P1367,109,2026-04-18
DL00156,ASN500127,P1053,51,2026-01-07
DL00853,ASN500041,P1301,40,2026-03-03
DL00519,ASN500022,P1181,142,2026-04-19
DL01176,ASN500124,P1405,76,2026-04-26
DL00772,ASN500037,P1274,84,2026-01-07
DL01053,ASN500107,P1366,103,2026-01-25
DL00207,ASN500023,P1069,108,2026-03-20
DL00722,ASN500068,P1257,170,2026-04-30
DL00514,ASN500124,P1178,102,2026-01-31
DL00931,ASN500063,P1323,122,2026-04-28
DL00504,ASN500079,P1175,154,2026-03-01
DL00213,ASN500037,P1071,94,2026-02-11
DL00360,ASN500059,P1124,37,2026-02-17
DL00001,ASN500055,P1000,96,2026-01-29
DL00019,ASN500010,P1004,39,2026-03-28
DL01080,ASN500031,P1375,109,2026-01-25
DL00801,ASN500100,P1284,162,2026-04-22
DL01179,ASN500120,P1406,74,2026-04-14
DL00388,ASN500083,P1136,7,2026-02-24
DL01038,ASN500045,P1361,62,2026-04-03
DL00653,ASN500136,P1231,42,2026-03-03
DL01024,ASN500028,P1355,43,2026-05-02
DL00632,ASN500013,P1222,97,2026-02-18
DL00808,ASN500048,P1287,16,2026-04-05
DL00720,ASN500025,P1255,155,2026-01-07
DL00460,ASN500027,P1159,6,2026-01-11
DL01202,ASN500062,P1413,46,2026-03-19
DL00743,ASN500064,P1265,131,2026-01-14
DL01201,ASN500030,P1413,88,2026-03-06
DL00682,ASN500028,P1243,102,2026-04-25
DL01122,ASN500055,P1387,149,2026-03-05
DL00799,ASN500081,P1283,58,2026-04-15
DL00378,ASN500110,P1133,151,2026-03-22
DL00770,ASN500131,P1273,28,2026-03-16
DL00086,ASN500051,P1025,10,2026-04-11
DL00444,ASN500124,P1156,41,2026-01-10
DL00248,ASN500064,P1084,45,2026-02-16
DL00496,ASN500037,P1173,34,2026-02-21
DL01103,ASN500010,P1380,80,2026-02-27
DL00835,ASN500082,P1296,7,2026-02-20
DL00906,ASN500083,P1317,159,2026-01-20
DL00384,ASN500102,P1134,166,2026-01-26
DL00556,ASN500026,P1196,125,2026-02-16
DL01206,ASN500032,P1414,66,2026-04-09
DL00688,ASN500047,P1246,142,2026-02-13
DL00599,ASN500049,P1210,154,2026-02-14
DL01207,ASN500136,P1414,133,2026-02-05
DL01172,ASN500053,P1404,172,2026-05-06
DL00807,ASN500032,P1287,130,2026-04-13
DL00725,ASN500031,P1257,42,2026-01-26
DL00171,ASN500068,P1059,100,2026-02-07
DL00438,ASN500127,P1154,175,2026-02-12
DL01117,ASN500010,P1386,179,2026-02-12
DL00687,ASN500127,P1245,102,2026-03-03
DL00299,ASN500119,P1101,25,2026-04-10
DL00937,ASN500024,P1325,56,2026-04-15
DL00614,ASN500135,P1217,142,2026-01-23
DL00842,ASN500043,P1297,31,2026-04-16
DL00858,ASN500072,P1302,23,2026-03-31
DL00974,ASN500106,P1337,16,2026-01-17
DL00227,ASN500030,P1077,104,2026-03-23
DL00034,ASN500084,P1008,70,2026-03-30
DL01002,ASN500088,P1347,104,2026-03-05
DL00616,ASN500046,P1219,47,2026-01-19
DL00010,ASN500039,P1002,173,2026-04-30
DL00625,ASN500028,P1221,36,2026-01-21
DL00874,ASN500048,P1307,61,2026-04-02
DL00696,ASN500137,P1248,84,2026-03-15
DL00468,ASN500003,P1161,99,2026-04-27
DL00179,ASN500009,P1061,31,2026-01-06
DL00832,ASN500084,P1295,149,2026-02-08
DL00777,ASN500016,P1276,84,2026-01-17
DL00702,ASN500134,P1250,63,2026-01-18
DL00809,ASN500066,P1287,49,2026-03-16
DL00803,ASN500089,P1285,113,2026-03-03
DL00103,ASN500009,P1031,170,2026-04-07
DL01178,ASN500022,P1406,56,2026-01-23
DL00485,ASN500062,P1170,120,2026-04-09
DL01151,ASN500042,P1398,132,2026-02-03
DL00938,ASN500025,P1326,97,2026-04-17
DL01197,ASN500077,P1412,43,2026-02-08
DL00492,ASN500020,P1171,104,2026-02-14
DL00476,ASN500114,P1165,22,2026-01-07
DL00517,ASN500065,P1180,155,2026-04-12
