part_number,batch,plant,quantity_on_hand
P1035,B00073,PLT-02,94
P1006,B00012,PLT-03,222
P1052,B00108,PLT-01,9
P1089,B00170,PLT-03,58
P1248,B00418,PLT-02,174
P1077,B00148,PLT-02,6
P1245,B00413,PLT-03,13
P1256,B00430,PLT-03,33
P1245,B00412,PLT-02,2
P1408,B00685,PLT-03,41
P1037,B00078,PLT-02,141
P1268,B00457,PLT-01,67
P1163,B00287,PLT-03,71
P1306,B00520,PLT-03,89
P1212,B00366,PLT-01,88
P1043,B00091,PLT-03,21
P1102,B00189,PLT-01,130
P1032,B00066,PLT-02,91
P1114,B00211,PLT-03,117
P1123,B00222,PLT-01,49
P1192,B00334,PLT-01,272
P1239,B00405,PLT-01,212
P1049,B00104,PLT-02,20
P1385,B00646,PLT-03,46
